STATE,CITY,DAY,MONTH,HARM_EV,MAN_COLL,TYP_INT,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS,DRUNK_DR
1,1870,5,1,14,0,1,0,4,1,0,1,0,0,0,1,0
1,1780,8,1,38,0,1,0,2,2,0,2,20,0,0,2,0
1,0,8,1,24,0,1,1,2,10,0,10,0,0,0,1,0
1,0,9,1,24,0,1,0,1,10,0,10,0,0,0,1,0
1,330,19,1,12,1,1,0,1,1,0,1,0,0,0,1,0
1,0,19,1,14,0,1,0,2,1,0,1,23,19,15,1,0
1,2100,21,1,8,0,1,0,1,1,0,1,0,0,0,1,0
1,0,23,1,12,1,1,0,2,10,0,10,19,23,0,1,0
1,2100,27,1,59,0,1,0,3,10,0,10,0,0,0,1,1
1,0,28,1,8,0,1,1,2,1,0,1,0,0,0,1,0
1,0,28,1,12,2,1,0,1,2,0,2,0,0,0,1,0
1,9997,1,1,1,0,1,0,2,10,0,10,0,0,0,1,1
1,1508,1,1,12,6,2,0,3,1,0,1,14,0,0,2,0
1,0,2,1,12,2,1,0,2,1,0,1,0,0,0,1,1
1,0,2,1,42,0,1,0,1,1,0,1,0,0,0,1,0
1,0,3,1,24,0,1,0,1,1,0,1,0,0,0,1,1
1,0,4,1,8,0,1,0,1,1,0,1,0,0,0,1,0
1,1560,4,1,12,6,2,0,5,1,0,1,0,0,0,1,0
1,2130,5,1,42,0,1,1,3,1,0,1,0,0,0,1,1
1,0,5,1,12,6,2,0,1,1,0,1,0,0,0,1,0
1,1730,5,1,12,6,2,0,1,1,0,1,0,0,0,1,0
1,0,5,1,12,2,1,0,1,1,0,1,0,0,0,1,0
1,0,5,1,12,6,2,0,1,1,0,1,0,0,0,1,0
1,9997,5,1,12,2,1,0,2,1,0,1,0,0,0,1,0
1,1080,5,1,12,2,3,0,1,1,0,1,0,0,0,1,0
1,1620,7,1,32,0,1,0,2,1,0,1,0,0,0,1,1
1,350,8,1,8,0,1,0,3,2,0,2,0,0,0,1,0
1,0,8,1,12,6,1,0,1,2,0,2,0,0,0,1,0
1,0,8,1,34,0,1,0,2,1,0,1,0,0,0,1,1
1,0,9,1,12,2,1,0,1,2,0,2,0,0,0,1,0
1,890,10,1,12,6,1,0,3,10,0,10,0,0,0,1,0
1,2100,10,1,8,0,1,0,3,10,0,10,0,0,0,1,0
1,0,10,1,42,0,1,0,2,2,0,2,0,0,0,1,0
1,890,11,1,8,0,1,0,3,2,0,2,0,0,0,1,0
1,0,11,1,12,1,1,0,1,1,0,1,0,0,0,1,0
1,0,11,1,42,0,1,0,2,2,0,2,0,0,0,1,0
1,0,12,1,34,0,1,0,2,2,0,2,0,0,0,1,1
1,2440,12,1,42,0,1,0,4,2,0,2,0,0,0,1,0
1,0,12,1,12,6,1,0,2,2,0,2,0,0,0,1,0
1,2100,13,1,42,0,1,0,1,1,0,1,0,0,0,2,1
1,0,13,1,32,0,1,0,2,1,0,1,0,0,0,1,0
1,1920,14,1,42,0,1,0,3,1,0,1,0,0,0,1,0
1,3080,15,1,12,2,1,0,4,1,0,1,0,0,0,1,0
1,0,15,1,12,2,1,0,1,1,0,1,0,0,0,2,0
1,0,15,1,12,2,1,0,2,1,0,1,0,0,0,1,0
1,2440,15,1,12,6,1,2,1,1,0,1,0,0,0,1,0
1,2100,16,1,12,2,1,0,3,10,0,10,0,0,0,1,1
1,0,16,1,12,2,1,0,2,1,0,1,0,0,0,1,1
1,0,17,1,34,0,1,0,1,10,0,10,0,0,0,1,0
1,0,17,1,12,6,1,0,1,10,0,10,0,0,0,1,0
1,0,18,1,34,0,1,0,1,1,0,1,0,0,0,1,1
1,0,18,1,18,0,1,0,1,1,0,1,0,0,0,1,0
1,20,19,1,12,2,1,0,3,1,0,1,0,0,0,1,0
1,0,19,1,42,0,1,0,1,1,0,1,0,0,0,1,0
1,0,20,1,8,0,1,0,2,1,0,1,0,0,0,1,0
1,0,20,1,59,0,1,0,2,10,0,10,0,0,0,1,0
1,0,20,1,59,0,1,0,2,1,0,1,0,0,0,1,0
1,0,21,1,17,0,1,0,2,1,0,1,0,0,0,1,1
1,2890,22,1,12,6,1,0,1,2,0,2,14,0,0,3,0
1,0,22,1,42,0,1,0,1,2,0,2,0,0,0,1,0
1,2440,24,1,8,0,2,0,3,1,0,1,0,0,0,1,0
1,0,24,1,35,0,1,0,2,1,0,1,0,0,0,1,1
1,0,25,1,35,0,1,0,1,1,0,1,0,0,0,1,0
1,0,26,1,58,0,1,0,1,10,0,10,0,0,0,1,1
1,0,26,1,12,2,1,0,1,1,0,1,0,0,0,1,0
1,0,27,1,42,0,1,0,4,2,0,2,0,0,0,1,0
1,2052,27,1,19,0,3,0,3,2,0,2,0,0,0,1,0
1,0,27,1,12,2,1,0,2,10,0,10,0,0,0,2,1
1,0,28,1,12,2,1,0,1,2,0,2,0,0,0,2,1
1,0,29,1,42,0,1,0,2,1,0,1,0,0,0,1,0
1,2760,29,1,42,0,1,0,1,1,0,1,0,0,0,2,1
1,0,31,1,32,0,1,0,1,1,0,1,0,0,0,1,0
1,0,31,1,59,0,1,0,1,1,0,1,0,0,0,1,0
1,0,1,2,35,0,1,0,1,1,0,1,0,0,0,2,0
1,0,1,2,42,0,1,0,1,1,0,1,0,0,0,1,0
1,2405,22,2,12,1,1,4,3,1,0,1,28,0,0,1,0
1,0,12,2,8,0,1,0,2,2,0,2,0,0,0,1,0
1,0,7,2,12,1,1,0,2,2,0,2,23,0,0,1,0
1,530,5,2,14,0,1,1,1,1,0,1,0,0,0,1,0
1,2130,19,1,8,0,1,0,2,1,0,1,19,0,0,1,1
1,0,31,1,34,0,1,0,2,1,0,1,0,0,0,1,1
1,0,2,2,12,2,1,0,2,1,0,1,0,0,0,1,1
1,2550,2,2,12,2,1,0,3,1,0,1,0,0,0,1,1
1,0,2,2,12,6,3,0,1,1,0,1,0,0,0,1,0
1,0,2,2,42,0,1,0,1,10,0,10,0,0,0,1,0
1,0,3,2,42,0,1,0,1,1,0,1,0,0,0,1,1
1,0,3,2,34,0,1,0,2,2,0,2,0,0,0,1,1
1,2465,4,2,42,0,1,0,2,99,0,99,0,0,0,1,1
1,2190,4,2,32,0,1,0,2,2,0,2,0,0,0,1,0
1,2100,7,2,12,6,1,0,3,10,0,10,0,0,0,1,1
1,0,8,2,43,0,1,0,2,10,0,10,0,0,0,1,1
1,3270,8,2,23,0,1,0,1,1,0,1,0,0,0,1,1
1,890,8,2,42,0,1,0,3,10,0,10,0,0,0,1,1
1,1806,8,2,8,0,1,0,2,1,0,1,0,0,0,1,0
