state_name,Hour_Of_Day,Day_Of_Week,Month,Trafficway_Type,Intersection,Light_Condition,Atmospheric_conditions,num_fatalities
Alabama,2PM,Wednesday,March,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,1PM,Saturday,April,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,3PM,Saturday,June,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,3AM,Friday,May,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,3PM,Sunday,November,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,5PM,Sunday,February,Interstate,Not an Intersection,Dusk,Clear,1
Alabama,11AM,Friday,September,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,11PM,Monday,May,Interstate,Not an Intersection,Dark – Not Lighted,Cloudy,1
Alabama,8AM,Sunday,June,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,5PM,Friday,September,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,10AM,Thursday,March,Interstate,Not an Intersection,Daylight,Rain,1
Alabama,1PM,Saturday,December,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,11PM,Saturday,October,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,9PM,Saturday,September,Interstate,Not an Intersection,Dark – Lighted,Clear,1
Alabama,7PM,Sunday,January,Interstate,Not an Intersection,Dark – Lighted,Clear,1
Alabama,4AM,Sunday,September,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,9PM,Thursday,September,Interstate,Not an Intersection,Dark – Lighted,Clear,1
Alabama,10PM,Friday,February,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,5AM,Sunday,July,Interstate,Not an Intersection,Dawn,Clear,1
Alabama,5AM,Friday,June,Interstate,Not an Intersection,Dawn,Clear,1
Alabama,7AM,Wednesday,March,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,1PM,Sunday,October,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,10AM,Wednesday,July,Interstate,Not an Intersection,Daylight,Cloudy,1
Alabama,1AM,Friday,November,Interstate,Not an Intersection,Dark – Not Lighted,Cloudy,1
Alabama,8PM,Friday,August,Interstate,Not an Intersection,Dark – Not Lighted,Cloudy,1
Alabama,11AM,Tuesday,March,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,4AM,Saturday,June,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,4PM,Thursday,January,Interstate,Not an Intersection,Dusk,Cloudy,1
Alabama,8PM,Wednesday,March,Interstate,Not an Intersection,Dark – Not Lighted,Cloudy,1
Alabama,11PM,Friday,December,Interstate,Not an Intersection,Dark – Lighted,Clear,1
Alabama,12AM,Saturday,August,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,5AM,Saturday,December,Interstate,Not an Intersection,Dark – Lighted,Clear,1
Alabama,10AM,Monday,August,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,10PM,Thursday,December,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,5AM,Sunday,April,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,1AM,Sunday,September,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,1AM,Thursday,May,Interstate,Not an Intersection,Dark – Lighted,Clear,1
Alabama,5AM,Monday,April,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,5AM,Sunday,August,Interstate,Not an Intersection,Dawn,Clear,1
Alabama,9AM,Wednesday,October,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,4PM,Thursday,May,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,12AM,Wednesday,December,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,6PM,Tuesday,July,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,11AM,Tuesday,November,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,2PM,Friday,February,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,10PM,Wednesday,February,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,11AM,Thursday,August,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,3PM,Wednesday,October,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,3PM,Friday,December,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,1PM,Tuesday,November,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,5AM,Sunday,October,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,6PM,Saturday,January,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,10PM,Sunday,March,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,6PM,Tuesday,June,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,5AM,Friday,February,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,8AM,Friday,June,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,11PM,Tuesday,December,Interstate,Not an Intersection,Dark – Not Lighted,"Fog, Smog, Smoke",1
Alabama,6AM,Monday,July,Interstate,Not an Intersection,Daylight,Cloudy,1
Alabama,5PM,Sunday,October,Interstate,Not an Intersection,Daylight,Cloudy,1
Alabama,4AM,Friday,November,Interstate,Not an Intersection,Dark – Not Lighted,Cloudy,1
Alabama,2PM,Wednesday,October,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,12PM,Wednesday,October,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,10PM,Wednesday,September,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,4AM,Wednesday,November,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,3PM,Sunday,October,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,11PM,Thursday,June,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,9AM,Sunday,May,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,4AM,Thursday,April,Interstate,Not an Intersection,Dark – Lighted,Rain,1
Alabama,12PM,Friday,April,Interstate,Not an Intersection,Daylight,Rain,1
Alabama,2PM,Tuesday,July,Interstate,Not an Intersection,Daylight,Cloudy,1
Alabama,2AM,Sunday,July,Interstate,Not an Intersection,Dark – Lighted,Cloudy,1
Alabama,11PM,Thursday,May,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,3AM,Sunday,August,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,11AM,Sunday,February,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,12AM,Saturday,February,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,11PM,Friday,March,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,2AM,Monday,April,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,5AM,Friday,June,Interstate,Not an Intersection,Dark – Lighted,Clear,1
Alabama,6AM,Sunday,February,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,6AM,Tuesday,July,Interstate,Not an Intersection,Daylight,Cloudy,1
Alabama,2AM,Friday,January,Interstate,Not an Intersection,Dark – Lighted,Cloudy,1
Alabama,11PM,Thursday,August,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,6AM,Tuesday,October,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,12PM,Tuesday,May,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,1PM,Monday,May,Interstate,Not an Intersection,Daylight,Cloudy,1
Alabama,6PM,Monday,January,Interstate,Not an Intersection,Dark – Lighted,Clear,1
Alabama,1PM,Friday,August,Interstate,Not an Intersection,Daylight,Rain,1
Alabama,11PM,Monday,August,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,3PM,Monday,May,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,7AM,Sunday,October,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,4AM,Sunday,August,Interstate,Not an Intersection,Dawn,Clear,1
Alabama,4PM,Saturday,June,Interstate,Not an Intersection,Daylight,Rain,1
Alabama,4PM,Tuesday,November,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,10PM,Friday,May,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,8PM,Tuesday,May,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,2AM,Saturday,February,Interstate,Not an Intersection,Dark – Lighted,Clear,1
Alabama,12PM,Sunday,May,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,4AM,Wednesday,August,Interstate,Not an Intersection,Dawn,Clear,1
Alabama,7PM,Saturday,August,Interstate,Not an Intersection,Dark – Lighted,Rain,1
Alabama,8PM,Friday,April,Interstate,Not an Intersection,Dark – Lighted,Rain,1
Alabama,3AM,Tuesday,July,Interstate,Not an Intersection,Dark – Lighted,Cloudy,1
Alabama,9PM,Sunday,January,Interstate,Not an Intersection,Dark – Lighted,Clear,1
Alabama,1PM,Saturday,October,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,4AM,Sunday,August,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,11AM,Thursday,May,Interstate,T-Intersection,Daylight,Clear,1
Alabama,10AM,Sunday,August,Interstate,Not an Intersection,Daylight,Clear,2
Alabama,5AM,Friday,July,Interstate,Not an Intersection,Daylight,Clear,1
